episode,minibatches,minibatches_possible,first_mb_kl,policy_loss,value_loss,mean_V,std_V,std_barrier,lyap_violation_rate,lyap_in_ball_rate,lyap_mean_dV,lyap_worst_slack,lyap_v_rmse,lyap_penalty,dynamics_loss,barrier_loss,approx_kl,clip_fraction,mean_std,mean_raw_log_std,mean_abs_action,alpha
58,18,24,0.0,0.0015897050810356934,26.636117723253037,,,,,,,,,,,,0.024541140857359603,0.2358940980500645,0.2636663450135125,0.18746499137745964,0.05702777124113507,0.41051906712730796
60,24,24,0.0,-2.4884201896687348e-05,39.486311395963035,,,,,,,,,,,,0.02037337240957034,0.21761067708333334,0.26648809264103573,0.19236777784923711,0.06088125209013621,0.39810717055349726
62,24,24,0.0,-0.009919530401627222,21.331037720044453,,,,,,,,,,,,0.023003733571385965,0.2340169275800387,0.26983974501490593,0.19813700330754122,0.06648904054115216,0.3860705432153814
64,24,24,0.0,-0.005463222512238038,13.928624232610067,,,,,,,,,,,,0.017036227179535974,0.19280598995586237,0.2733520952363809,0.20412111716965833,0.07323286465058725,0.37439783898238116
66,24,24,0.0,-0.0038846018724143505,13.349039117495218,,,,,,,,,,,,0.01613653529784642,0.20048828174670538,0.2767287914951642,0.20981489618619284,0.07738269958645105,0.3630780547701012
68,24,24,0.0,-0.0051031934563070536,17.041652262210846,,,,,,,,,,,,0.014346436464014308,0.15839843750776103,0.2796712592244148,0.2147311375786861,0.07432333535204332,0.35210052016845217
70,24,24,0.0,-0.0012250483656922977,11.399888396263123,,,,,,,,,,,,0.015125001703078548,0.20055338585128388,0.28246646001935005,0.21936306543648243,0.10939058568328619,0.3414548873833602
72,24,24,0.0,-0.01309156014273564,11.74598515033722,,,,,,,,,,,,0.012889092225426188,0.15315755239377418,0.2852579193810622,0.22395204938948154,0.09539125052591164,0.3311311214825911
74,24,24,0.0,-0.003795419392796854,18.97213085492452,,,,,,,,,,,,0.018055439742359642,0.18121744878590107,0.2881588352223237,0.2286830898374319,0.10561347318192323,0.3211194909364821
76,24,24,0.0,-0.015464047435671091,17.58499236901601,,,,,,,,,,,,0.017021121088570606,0.20126953162252903,0.2911825105547905,0.23357460958262286,0.11940414924174547,0.31141055844467586
78,24,24,0.0,0.013000895244961915,11.905304292837778,,,,,,,,,,,,0.025773783980791148,0.27578125211099785,0.29381578663984936,0.23780239559710026,0.1459241472184658,0.3019951720402015
80,24,24,0.0,-0.012145129265263677,15.318317850430807,,,,,,,,,,,,0.012595768964577777,0.14511718787252903,0.29630787422259647,0.2417757281412681,0.13850273874898753,0.2928644564625236
82,18,24,0.0,-0.004346506825337808,23.923177613152397,,,,,,,,,,,,0.02310663040003015,0.20690104199780357,0.2987326251135932,0.2456170196334521,0.15737724552551904,0.2840098047914215
84,24,24,0.0,-0.009158415060179928,19.097918152809143,,,,,,,,,,,,0.019809134105647292,0.19830729253590107,0.30113744363188744,0.24940249137580395,0.1737310097863277,0.27542287033381646
86,12,24,0.0,0.0020445522386580706,16.62182291348775,,,,,,,,,,,,0.020840607195471723,0.21230468712747097,0.30323168883721036,0.25268205255270004,0.15161888053019842,0.2670955587558984
88,18,24,0.0,0.004270980574397577,21.85458993911743,,,,,,,,,,,,0.02918203524313867,0.26922743022441864,0.30466328561306,0.25491328206327224,0.24899622466829088,0.2590200204531324
90,24,24,0.0,-0.011948778022391101,11.856660644213358,,,,,,,,,,,,0.01855574836372398,0.18854166691501936,0.3065053994456927,0.2577714833120505,0.23052146223684153,0.2511886431509582
92,12,24,0.0,0.01439945933331425,13.385348637898764,,,,,,,,,,,,0.020925475187444437,0.20045573016007742,0.3084491516153018,0.260773944358031,0.22380004078149796,0.24359404472920274
94,24,24,0.0,-0.0012449340429157019,15.922643582026163,,,,,,,,,,,,0.025142566504655406,0.254264323040843,0.3100699335336685,0.263265747576952,0.22980511002242565,0.2362290662634461
96,24,24,0.0,-0.0066185749795598285,15.845646341641745,,,,,,,,,,,,0.017297998720702406,0.19453125136593977,0.3118785222371419,0.2660350675384204,0.25269521710773307,0.22908676527677732
98,24,24,0.0,-0.013078990198361376,19.231172402699787,,,,,,,,,,,,0.01624636227400818,0.1824218761175871,0.31343859682480496,0.2684140217800935,0.2479024144510428,0.22216040919558114
100,12,24,0.0,0.011954430645952622,14.597410599390665,,,,,,,,,,,,0.026360230384549748,0.19453125136593977,0.3147503063082695,0.2704079945882161,0.23921309784054756,0.21544346900318836
102,12,24,0.0,0.015569240242863694,15.16597064336141,,,,,,,,,,,,0.03541955774805198,0.22187500074505806,0.3156183610359828,0.27172382920980453,0.2456133390466372,0.20892961308540392
104,24,24,0.0,-0.008849721712370714,15.350805600484213,,,,,,,,,,,,0.022885109443450347,0.2169270838300387,0.31690464665492374,0.27366799861192703,0.23967834437886873,0.20261270126211436
106,24,24,0.0,-0.003129286807961762,17.030201355616253,,,,,,,,,,,,0.016718982224119827,0.17828776066501936,0.3187693903843562,0.27647796894113225,0.21310139509538809,0.19648677899934686
108,12,24,0.0,0.001208985922858119,20.616854508717854,,,,,,,,,,,,0.029684819678853575,0.2548177105685075,0.3201550394296646,0.27855946868658066,0.22652964666485786,0.19054607179632474
110,24,24,0.0,-0.0035583171023366353,11.171182096004486,,,,,,,,,,,,0.027569257149783272,0.25250651128590107,0.32152847324808437,0.2806142953534921,0.19257359268764654,0.18478497974222916
112,24,24,0.0,-0.007834836064527432,19.448697408040363,,,,,,,,,,,,0.015103886093129404,0.15026041710128388,0.3229673778017362,0.2827607716123263,0.25351796361307305,0.17919807223753334
114,18,24,0.0,0.0006719932167066468,23.509549405839707,,,,,,,,,,,,0.024222030964059133,0.23155382027228674,0.3242448783583111,0.28466188079781,0.20390180912282732,0.1737800828749375
116,24,24,0.0,-0.009793393003443876,11.923484365145365,,,,,,,,,,,,0.016955550177954137,0.16383463547875485,0.3256393149495125,0.2867296574016412,0.2912105309466521,0.16852590447507512
118,12,24,0.0,-0.003957682357092078,14.760196685791016,,,,,,,,,,,,0.02109935295690472,0.19270833426465592,0.32706619799137115,0.2888389180103938,0.2553982560833295,0.1634305842723138
120,24,24,0.0,-0.01368109827550749,15.053032338619232,,,,,,,,,,,,0.022346958954585716,0.19095052173361182,0.328446635355552,0.29087285076578456,0.2535162841280301,0.1584893192461113
122,18,24,0.0,-0.001479908720486694,11.836410416497124,,,,,,,,,,,,0.024581771356881492,0.24388020878864658,0.3297918074660831,0.292849568857087,0.2518455808361371,0.15369745159352716
124,12,24,0.0,0.0029418327612802386,10.346987326939901,,,,,,,,,,,,0.02437439002096653,0.19615885491172472,0.3304516499241193,0.2938166707754135,0.24513274182875952,0.14905046433861965
126,12,24,0.0,0.021025113994255662,19.461893320083618,,,,,,,,,,,,0.041820811689831316,0.297591146081686,0.331120565533638,0.29479554295539856,0.2460276037454605,0.1445439770745928
128,24,24,0.0,-0.003040255124991139,10.899283866087595,,,,,,,,,,,,0.019075090133507427,0.21669921837747097,0.3320637581249078,0.29617345333099365,0.28613634407520294,0.140173741834677
130,24,24,0.0,-0.010837811161763966,10.18837559223175,,,,,,,,,,,,0.0197316610137932,0.2031250006208817,0.333309347430865,0.2979884135226409,0.2318888045847416,0.13593563908785264
132,18,24,0.0,-0.00831099765168296,11.35811291800605,,,,,,,,,,,,0.023673371942196455,0.1595920142200258,0.3345561838812298,0.29979989263746476,0.3263210819827186,0.1318256738556407
134,24,24,0.0,-0.012038855439944504,16.477372725804646,,,,,,,,,,,,0.02150012511992827,0.1976562508692344,0.3359082179764907,0.3017573406298955,0.2308549458781878,0.12783997194630237
136,24,24,0.0,0.005124155315570533,13.27670661608378,,,,,,,,,,,,0.018761917803203687,0.20673828137417635,0.33744553476572037,0.30397676055630046,0.2708857152611017,0.12397477630289444
138,24,24,0.0,-0.007699211166861157,9.621318618456522,,,,,,,,,,,,0.01598578364549515,0.17991536545256773,0.33883623654643696,0.30597929656505585,0.3056584298610687,0.12022644346174129
140,12,24,0.0,0.0005034071703751882,11.965296387672424,,,,,,,,,,,,0.02597961132414639,0.22903646032015482,0.33986395845810574,0.30745511998732883,0.2317445489267508,0.11659144011798313
142,18,24,0.0,-0.011502974459694492,20.361957126193577,,,,,,,,,,,,0.023668021261174645,0.21940104249450895,0.3407365944650438,0.308706220653322,0.27525808413823444,0.11306633979496389
144,12,24,0.0,0.005158455615552763,17.799444834391277,,,,,,,,,,,,0.028933627414517105,0.16555989595750967,0.34154461075862247,0.30986372381448746,0.2523684886594613,0.10964781961431848
146,12,24,0.0,0.014522371192773184,17.72516139348348,,,,,,,,,,,,0.042271656081235655,0.20156250149011612,0.3420343225200971,0.31056436399618786,0.3052447860439618,0.10633265716371613
148,12,24,0.0,-0.002842146709250907,13.797504822413126,,,,,,,,,,,,0.02961977043499549,0.17942708358168602,0.3425446500380834,0.3112923751274745,0.24723989516496658,0.10311772745930552
150,12,24,0.0,0.00034768708671132725,13.232768376668295,,,,,,,,,,,,0.01985574816353619,0.18723958358168602,0.3430200045307477,0.31196976949771243,0.25291627769668895,0.09999999999999999
152,18,24,0.0,0.009021638944331143,10.894568946626451,,,,,,,,,,,,0.02631885337177664,0.2672309031089147,0.3435174955262078,0.31267725427945453,0.2942258136139976,0.09697653591082495
154,12,24,0.0,0.014852983954673013,12.329620281855265,,,,,,,,,,,,0.030303578726792086,0.24576822916666666,0.344014972448349,0.31338447829087573,0.2984657684961955,0.09404448517263518
156,12,24,0.0,0.009888273741429051,18.183963378270466,,,,,,,,,,,,0.03813144069863483,0.2715494781732559,0.3443904096881549,0.31391823291778564,0.2294932355483373,0.091201083935591
158,24,24,0.0,-0.009442621298755208,8.207365890343985,,,,,,,,,,,,0.021290955424774438,0.2125325525800387,0.34501206626494724,0.31480009978016216,0.26073095202445984,0.08844365191386
