episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time
20,720,99.9856762682617,26.745766869397695,30.04373651413541,-0.028647463476602297,3.2677338604952735,-0.8297110795974731,12.643252270005178,12.46305834800296,0.6032802585104946,11.859778089492465,0.08626853099849541
21,720,99.81962042621689,26.220591132132185,30.03842738039338,-0.3607591475662275,3.4542056883651844,,12.454813891003141,12.363079800998094,0.6038429417676525,11.759236859230441,0.0
22,720,100.0,27.732848829409235,30.99090677453231,0.0,3.2558634257827936,-0.8099201917648315,13.02315693499986,12.849591442995006,0.6049528579460457,12.24463858504896,0.08620191100635566
23,720,99.9615319585278,27.656022974474308,31.036780612834033,-0.07693608294439969,3.301099758098854,,12.431879098992795,12.338473916999646,0.60360430671426,11.734869610285386,0.0
24,720,99.90234464471405,26.727550620846813,30.489866284389606,-0.19531071057190275,3.5643668713655337,-0.6757137179374695,13.355778008000925,13.181762210995657,0.6034296481520869,12.57833256284357,0.08613506100664381
25,720,99.80665235094249,26.94017239117308,30.73843028321233,-0.3866952981150291,3.4101022481716243,,12.73855470799026,12.631874530998175,0.6042889318923699,12.027585599105805,0.0
26,720,99.8899604809048,26.930260323720223,29.92583970380079,-0.22007903819039143,2.7742976334524356,-0.6866915822029114,12.745865182994748,12.572692380999797,0.6043207601469476,11.96837162085285,0.08632915100315586
27,720,99.81962042621689,25.76949798512718,29.620094909025283,-0.3607591475662275,3.4895276513541065,,13.043227156987996,12.929693812999176,0.6050109620846342,12.324682850914542,0.0
28,720,100.0,28.212255859152783,31.5512149567247,0.0,3.338707823367158,-0.7498392462730408,12.625315170007525,12.43785958198714,0.6036781087750569,11.834181473212084,0.0890210530051263
29,720,99.98669413464386,27.661034634824446,31.238603963244845,-0.026611730712289727,3.5509149482413616,,12.380962748997263,12.287090789002832,0.6032689880521502,11.683821800950682,0.0
30,720,99.81962042621689,27.239902857741853,30.64562370663058,-0.3607591475662275,3.0448804090876656,-0.7262076139450073,12.392455042994698,12.217337458001566,0.6032726077537518,11.614064850247814,0.08623614099633414
31,720,99.97688066744107,26.032368346526344,29.270465024558927,-0.046238665117869004,3.1918520691234518,,12.592872744993656,12.502316912999959,0.6051213650935097,11.897195547906449,0.0
32,720,99.99856828096911,27.02190281567796,30.493335978577917,-0.0028634380617802435,3.468563698265029,-0.4950326681137085,12.890631422997103,12.711242289995425,0.604771710219211,12.106470579776214,0.08591331698698923
33,720,100.0,27.13989313473765,30.65510400688912,0.0,3.5152097176495745,,12.524545018997742,12.436226439007442,0.6031785180675797,11.833047920939862,0.0
34,720,99.85468339864086,26.672479618167323,30.491382154105256,-0.29063320271828275,3.5282684582293737,-0.6200089454650879,12.653028845001245,12.477679674993851,0.6034819579363102,11.874197717057541,0.08629460800148081
