episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,start_battery,min_battery
11,720,4.877252741552913,41.70056884440689,122.10926192399671,-68.24932855553665,7.292589729378404,,19.751372159997118,19.605447056004778,0.6517394886177499,18.953707567387028,0.0,42.26236725279762,24.28470215753165,39.00191701932123,4.877252741552913
12,720,5.231313638263963,57.97981140700959,123.71668230413007,-53.51807150261569,7.529686249582529,-1.2686818838119507,19.852596012991853,19.394595002988353,0.6523661171668209,18.742228885821532,0.29929021300631575,42.262846011682974,25.1401926751814,31.990349389571826,5.231313638263963
13,717,0.0,49.868254616610855,122.38814106064736,-60.637907688624054,7.070032378159941,,20.28502922000189,20.147029717001715,0.650181504082866,19.49684821291885,0.0,42.26241819728823,24.735741669909743,30.31895384431203,0.0
14,720,7.207496920154719,64.36080104382668,127.39365961798318,-50.908708720207855,7.427589686787209,-1.1736096143722534,19.641022173993406,19.195449200997245,0.6518621070426889,18.543587093954557,0.29969192401040345,42.26358263262309,25.325226513981274,32.66185128025862,7.207496920154719
15,720,5.482730527902933,41.98188409712932,121.26541293628891,-66.92122402455439,7.485903696080538,,20.170204544003354,20.011441750000813,0.6510579810565105,19.360383768944303,0.0,42.256008959043506,24.29987780182452,38.94334254018014,5.482730527902933
16,720,9.826726685351229,57.24513285371148,125.87640684336148,-56.22900176734078,7.483485290847567,-1.1725918054580688,20.495391964010196,20.05024484101159,0.6488518319529248,19.401393009058665,0.2982976829953259,42.262738698452004,25.00375449410029,37.9412275690216,9.826726685351229
17,720,8.06039381218286,59.82368524527233,125.77946786433317,-53.905415557574926,7.196662248860296,,19.253664864998427,19.093179862989928,0.6520214009506162,18.44115846203931,0.0,42.26379421044308,25.184149498120824,35.01310159097032,8.06039381218286
18,702,0.0,30.976907624401193,114.29709155868932,-70.78121922451093,7.288799467144114,-1.2104140520095825,20.36285731899261,19.91104451000865,0.6350985279277666,19.275945982080884,0.301422835997073,42.26355554679973,23.878854618767583,35.390609612255496,0.0
19,718,0.0,34.881087657126685,119.38137371364441,-72.37265110298833,7.177019530432386,,20.633121111997752,20.475479214990628,0.650155613955576,19.825323601035052,0.0,42.263728003585626,23.974879603377943,36.186325551494214,0.0
20,720,5.693172778440148,54.93266832923844,124.79278096462413,-57.087819164953366,7.478864501252736,-1.246317982673645,19.587048857007176,19.150101293998887,0.6512989531474886,18.498802340851398,0.2979824619978899,42.26368162803298,24.9113332565119,34.23708236091682,5.693172778440148
21,720,3.056424166336656,52.325218820311626,123.2377252679161,-58.154566800655886,7.573716557851204,,20.28317926899763,20.14340688099037,0.6518142621061997,19.49159261888417,0.0,42.26390526405573,24.76291148314503,32.13370756666464,3.056424166336656
22,708,0.0,42.50212940704317,118.37311770787993,-63.785488099057375,7.00544882891136,-1.1260377168655396,19.88030338899989,19.43893936200766,0.6408803859958425,18.798058976011816,0.3002008979965467,42.26375893567525,24.45871978510973,31.89274404952871,0.0
23,720,0.0,44.841522933626926,122.10501911121904,-65.1412828035654,7.139218750961919,,19.55636690100073,19.406941534005455,0.6531446071894607,18.753796926815994,0.0,42.2637379357914,24.421004591285268,32.57064140178272,0.0
24,697,0.0,42.35373673159295,117.48340353684945,-62.76859213563957,7.297151674050215,-1.2179185152053833,18.39245780800411,17.953492856002413,0.631793907872634,17.32169894812978,0.2967285479971906,42.26033934133643,24.363168802224862,31.384296067819744,0.0
25,713,0.0,35.62166671144914,117.53897488018836,-69.42686784549683,7.39212006400701,,20.42541716399137,20.273831592989154,0.6479515768587589,19.625880016130395,0.0,42.260290148141685,24.031790694203,34.71343392274843,0.0
