episode,steps,final_battery,total_reward,total_directional_reward,total_battery_reward,total_movement_penalty,loss,episode_time,rollout_time,inference_time,env_time,update_time,peak_solar_w,mean_solar_w,min_battery
24,720,1.0060344116675128,-56.52764040302921,24.371008454195536,-60.75652331230446,15.072229104479486,-1.1661373376846313,20.827445047005313,20.43701831299404,0.6423855267348699,19.79463278625917,0.23333218799962196,42.26336417154808,24.674333729351797,1.0060344116675128
25,720,4.9933551829956775,-56.1210562052154,24.41736136748044,-59.44015747950553,15.666886050687875,,19.687244346001535,19.532287466994603,0.6415933969838079,18.890694070010795,0.0,42.25919637115994,24.714729944490678,4.9933551829956775
26,720,0.17668469722763233,-66.18587044614588,23.98415945335069,-70.00265540772284,14.981330567473284,-1.1118849515914917,20.992904383994755,20.606940996993217,0.6437699961534236,19.963171000839793,0.2297471689962549,42.263380969105384,24.078319862107264,0.17668469722763233
27,720,9.597878837001305,-43.66524020743114,25.172324758370735,-48.39911771513064,15.568017538713647,,19.143663381997612,18.99219915700087,0.6416009459207999,18.35059821108007,0.0,42.257718423373575,25.443471117361824,9.597878837001305
28,720,6.957748148090098,-50.03067290797425,25.00788518117399,-53.66759315646942,15.685721494319402,-1.2890219688415527,20.136743830997148,19.72530041099526,0.6410135098558385,19.08428690113942,0.2739217250054935,42.26274797853174,25.12251327942546,6.957748148090098
29,693,0.0,-63.992977005517496,22.772873921413456,-66.71435326828058,14.70944377996651,,19.97988563000399,19.82249058499292,0.6190175811643712,19.20347300382855,0.0,42.26113382925719,24.056618010305286,0.0
30,720,3.3353497589712497,-63.6001364216587,23.8814319505523,-67.17339307207025,14.878913452760166,-1.0468794107437134,19.690978808997897,19.243065535003552,0.6402235160203418,18.60284201898321,0.29980540700489655,42.25985118820768,24.302408611389062,3.3353497589712497
31,720,3.3399175467005797,-67.82818501587927,23.930874759649036,-70.83653471750014,15.061433994580039,,20.18880326100043,20.041532043993357,0.6426880301878555,19.3988440138055,0.0,42.2616489728883,24.059344323813438,3.3399175467005797
32,720,5.983416705072959,-56.213156510094194,24.403674622017036,-59.17294867867212,15.391920276685811,-1.0064278841018677,20.130555167008424,19.68900411600771,0.6421405961591518,19.046863519848557,0.2955204089957988,42.26320072969503,24.801532469937932,5.983416705072959
33,720,4.293399943425244,-52.49977302875044,25.02970780445375,-56.967840212235394,15.039316133361195,,19.447575950995088,19.302949508986785,0.6395307518832851,18.6634187571035,0.0,42.26337516133357,24.892814878931297,4.293399943425244
34,720,0.39958309758130595,-67.86554309110169,23.37385312321367,-70.9596776274563,14.87564900694189,-1.1508408784866333,21.84540449400083,21.38323589299398,0.6404165188723709,20.74281937412161,0.2949442969984375,42.2471737011508,24.060269203196906,0.39958309758130595
35,720,4.064087734113181,-55.493975450257665,24.958926269426005,-59.99237356235653,14.8233570994023,,19.683233547009877,19.533098529005656,0.6423079607629916,18.890790568242664,0.0,42.263430485071005,24.762500791907136,4.064087734113181
36,720,4.9849768389842435,-49.36265589418874,24.566891850153112,-54.257283933553815,14.404371948921806,-1.2843332290649414,20.21717397599423,19.756432427995605,0.6423370071133832,19.114095420882222,0.2947275219921721,42.26323214759561,25.112965210641736,4.9849768389842435
37,720,6.910161943513515,-55.965193301712794,25.13480083833899,-60.23391245466713,15.448394936618843,,20.00367878799443,19.8678900260129,0.6426347740925848,19.225255251920316,0.0,42.26345209766944,24.727308356969104,6.910161943513515
38,720,2.8235100982182226,-65.70194143490401,23.86269340093082,-69.50889469195481,14.662464567327202,-1.126916527748108,20.342893364999327,19.889703915992868,0.64346595085226,19.246237965140608,0.29318109499581624,42.263331933339124,24.11890305146627,2.8235100982182226
39,720,10.872225022056217,-43.88552055344478,25.005706583647427,-48.31478816203577,14.790008746616566,,19.75920275200042,19.626736703998176,0.6415273129241541,18.985209391074022,0.0,42.261616264130076,25.55667297868756,10.872225022056217
40,720,7.698883412992022,-59.957295459589304,24.060792893180647,-63.16867015059276,15.097615963197498,-1.1216500997543335,20.817693064993364,20.370444813990616,0.645188520924421,19.725256293066195,0.29306616001122165,42.26337404808132,24.55543402714935,7.698883412992022
41,716,0.0,-70.98613846291639,23.640646430298315,-74.31971753129258,14.665802465059105,,19.281736296994495,19.12693753899657,0.6395534072362352,18.487384131760336,0.0,42.26337599220853,23.752273897143642,0.0
42,720,8.291914473627498,-48.15089602622722,24.91526772699667,-52.30343218620648,14.81457249997217,-1.066813349723816,19.8890675510047,19.449556499996106,0.6414427062409231,18.808113793755183,0.2852490060031414,42.263433720553635,25.248559739820607,8.291914473627498
43,720,11.347790637927538,-42.640208622663664,25.488338962571152,-46.32656025325164,15.591410271070092,,20.01584652499878,19.846102936004172,0.6455003498849692,19.200602586119203,0.0,42.254720897073234,25.58429857543857,11.067659770076787
44,720,14.431350764246679,-28.16114491161543,26.20588917536399,-33.497211904329106,15.054047007646746,-1.083144187927246,20.25062489999982,19.808699820991023,0.6408016771019902,19.167898143889033,0.29492005000065546,42.263203468879205,26.50974827389559,11.582907603549259
45,720,1.2887795941803608,-73.32138979435766,24.033741648378385,-76.3723480261113,15.283799130557588,,19.454540381993866,19.308423854003195,0.6413769399514422,18.667046914051753,0.0,42.26340848549606,23.697388804734413,1.2887795941803608
46,720,11.668117218625476,-41.48730454773738,25.444871360137594,-45.77681545331725,15.415367372319336,-1.1788647174835205,19.949891723008477,19.504759891002323,0.6415111979877111,18.86324869301461,0.2979372469999362,42.26334989605619,25.67203873858978,11.668117218625476
47,717,0.0,-65.75662492213498,23.4689691775806,-68.8065851629846,14.789495411021926,,20.988422587994137,20.825800900987815,0.6390708700200776,20.186730030967738,0.0,42.26344073945319,24.109037898132005,0.0
48,720,8.757051201496319,-48.152526242128836,25.059621793409,-50.97965898913172,16.0755998610071,-1.0011019706726074,20.000457861999166,19.55341945400869,0.6409242181689478,18.912495235839742,0.2996177420136519,42.263408669089536,25.274844679233432,8.757051201496319
49,720,6.093741014939366,-57.079351602118145,24.635149595846972,-60.421416336609425,15.098044728955818,,19.587198303997866,19.423503906000406,0.6418732530873967,18.78163065291301,0.0,42.263424474006605,24.673921394760434,6.093741014939366
50,695,0.0,-60.68241309490729,23.09240087884391,-63.448523205056325,14.42692416650624,-1.0775299072265625,18.791521294988343,18.35032518299704,0.6175616180698853,17.732763564927154,0.2937787080009002,42.26345325440923,24.307012676930356,0.0
51,700,0.0,-61.16523794678411,23.267035024049246,-64.05852122736923,14.478930537638096,,18.913974908005912,18.772094788000686,0.6241239239316201,18.147970864069066,0.0,42.26352498022005,24.29455237177615,0.0
52,720,6.870660670908933,-42.2476219739263,25.55173999969678,-47.77161343910838,14.108664944740609,-1.1865153312683105,19.310509910006658,18.85392576600134,0.6408039607194951,18.213121805281844,0.29828208999242634,42.26330975355449,25.601083715520623,6.870660670908933
53,720,9.149443870365737,-43.09680197317284,24.959428362206328,-46.41821256769167,15.394333849947932,,20.240701073998935,20.10046641698864,0.6419698702520691,19.45849654673657,0.0,42.26349828518773,25.59712624635677,9.149443870365737
54,720,7.370778638614409,-60.73833165766578,23.76326408015219,-63.97692325124707,14.407347242065578,-1.0375945568084717,20.553715932997875,20.111268821012345,0.6410634756903164,19.47020534532203,0.29471283800376114,42.263221985242666,24.58990524508723,7.370778638614409
55,694,0.0,-59.11113110016234,23.135582903428126,-62.2634563307513,14.386744770630145,,18.931564029000583,18.789217266006744,0.6175081649853382,18.171709101021406,0.0,42.26114411809447,24.301136087765606,0.0
56,680,0.0,-62.33628426648541,22.279274050531995,-65.05266939949233,13.540128754754633,-0.9768368601799011,18.216857660008827,17.77722117298981,0.6053437188675161,17.171877454122296,0.2932888979994459,42.25933238866688,24.097316227562537,0.0
57,720,7.683553622765657,-45.78386439766405,25.31040176988848,-49.39916619569991,15.440635244153043,,19.551202143004048,19.409813393009244,0.6424005807348294,18.767412812274415,0.0,42.26337385236555,25.397531035448765,7.683553622765657
58,701,0.0,-62.2063911822576,23.34154551799715,-65.15225676995104,14.450055605657008,-1.1229807138442993,18.57158936400083,18.12874449499941,0.62409948297136,17.50464501202805,0.2962786319985753,42.263612178795114,24.23159368593106,0.0
59,688,0.0,-64.33501798721669,22.556956462380658,-67.13352689111142,13.758466491980409,,17.34217513400654,17.1922978250077,0.6137748809851473,16.578522944022552,0.0,42.25996087002282,24.02060156324086,0.0
60,701,0.0,-59.24556027774043,23.884852398568484,-62.7259479407359,14.221453442207116,-1.116355061531067,18.583738450004603,18.14822305800044,0.6244868840585696,17.52373617394187,0.2952911549946293,42.263071075267426,24.348406745260895,0.0
61,718,0.0,-57.9759382652111,24.45042353015723,-61.64108328608151,14.487294893931404,,19.407416843008832,19.262146823995863,0.6410833137488225,18.62106351024704,0.0,42.26356391229173,24.59114610724647,0.0
62,713,0.0,-60.41049778303072,23.707339359633117,-62.26263624722766,15.201661845477252,-0.99360591173172,20.723694660991896,20.281978112005163,0.634013091752422,19.64796502025274,0.29916475201025605,42.26312958472772,24.47804092270918,0.0
