episode,avg_reward,best_avg_reward,reward_above_threshold,avg_lyap,avg_barrier,avg_std,avg_abs_action,exploration_cleared,stable,checks_since_best
368,-57.345120170031166,-55.800794682063696,True,0.010019511986239297,1.0049701106456472e-06,0.8988606199208233,0.46384186003771094,True,True,17
370,-56.967930024711386,-55.800794682063696,True,0.010019012270939587,1.6593659106789074e-06,0.8994031647427214,0.45822476460845857,True,True,18
372,-56.88695028367985,-55.800794682063696,True,0.010018760311965054,1.6593659106789074e-06,0.8999670632183552,0.46149327752634806,True,True,19
374,-55.88299360478442,-55.800794682063696,True,0.010018710236561122,3.4585233654008668e-06,0.9005667900873556,0.46283150172211984,True,True,20
376,-55.73894735689423,-55.73894735689423,True,0.010018436598466655,3.844926145751048e-06,0.9012255890501871,0.46488043348966296,True,True,0
378,-56.18154243690729,-55.73894735689423,True,0.010018198684353948,3.844926145751048e-06,0.9018906446380747,0.4689579676809735,True,True,1
380,-55.55676311414372,-55.55676311414372,True,0.010018379898384158,3.844926145751048e-06,0.9025288621170654,0.47203450904268285,True,True,0
382,-55.515155474112746,-55.515155474112746,True,0.010017243446191718,3.844926145751048e-06,0.9032037260217798,0.473136405457837,True,True,0
384,-55.63170180022524,-55.515155474112746,True,0.01001683989829937,3.844926145751048e-06,0.9039352517161102,0.47351433026023965,True,True,1
386,-55.590609024299695,-55.515155474112746,True,0.010016394951178325,3.844926145751048e-06,0.9046574304087291,0.4743575361840751,True,True,2
388,-55.87423931934731,-55.515155474112746,True,0.01001601146164593,3.844926145751048e-06,0.9053898809684645,0.4761011861858592,True,True,3
390,-55.680376802710065,-55.515155474112746,True,0.010015207899066254,3.844926145751048e-06,0.9061518540812861,0.4769008659420238,True,True,4
392,-55.716484495259955,-55.515155474112746,True,0.010014511298884272,3.844926145751048e-06,0.9069782559656433,0.47794604959317316,True,True,5
