model,seed,episode,source,tensor,shape,n,mean,std,kurt,sigma_max,xavier_sigma,vs_xavier,eff_rank,rank_frac,tail,eff_sig,frac_tiny,min,p1,p5,p25,median,p75,p95,p99,max
lyapunov,2,500,episode_500.pt,dynamics.0.weight,128x128,16384,0.000748392236999823,0.08679409661032522,1.9246522201706993,2.008919462235271,2.0,1.0044597311176355,52.997376249234065,0.41404200194714114,0.0036509469582901377,nan,0.00048828125,-0.23703885078430176,-0.15879064306616783,-0.13476345613598822,-0.0719962865114212,0.0016340677393600345,0.07372386567294598,0.13603662773966785,0.16023237004876137,0.21877412497997284
lyapunov,2,500,episode_500.pt,dynamics.2.weight,128x128,16384,-0.0008202786625698321,0.08704316326671926,2.0034621905131127,1.9623165793066075,2.0,0.9811582896533038,54.30949112778958,0.4242928994358561,0.0009746450426414279,nan,0.0010986328125,-0.2543780505657196,-0.16568787530064583,-0.13723333254456518,-0.0729320403188467,-0.0010666904272511601,0.07083845883607864,0.1360824488103389,0.16490486294031145,0.23222370445728302
lyapunov,2,500,episode_500.pt,encoder.layers.0.linear1.weight,256x128,32768,-0.0005850335698188783,0.08305514564874406,2.3974100765689794,3.7110156629608957,1.9711971193069777,1.882620275066957,41.005752002665595,0.32035743752082496,0.09259963406708653,nan,0.000823974609375,-0.37484821677207947,-0.17216096997261046,-0.13051408603787423,-0.06547299027442932,-0.0006628341507166624,0.06434752605855465,0.1301835983991623,0.17023332536220548,0.31549111008644104
lyapunov,2,500,episode_500.pt,encoder.layers.0.linear2.weight,128x256,32768,-0.000442940667663011,0.08088837117880905,2.2721230248484257,3.7751676780899306,1.9711971193069777,1.9151649731596516,39.52291362614398,0.30877276270424986,0.09534644105116076,nan,0.00079345703125,-0.28365418314933777,-0.16352206319570542,-0.12740050479769707,-0.06481110118329525,-0.0010143910767510533,0.06373324431478977,0.12761141210794444,0.16474357843399048,0.3065352439880371
lyapunov,2,500,episode_500.pt,encoder.layers.0.self_attn.in_proj_weight,384x128,49152,-0.0004508742562765779,0.09022099135353782,2.940509405948442,6.390059371923536,1.9318516525781364,3.307738129579327,30.3918159565834,0.23743606216080781,0.09293139081483433,nan,0.0008341471354166666,-0.38401228189468384,-0.2056903572380543,-0.1454695776104927,-0.06447570957243443,-0.0005060899711679667,0.06291924230754375,0.14482089579105373,0.20994134381413457,0.39111486077308655
lyapunov,2,500,episode_500.pt,encoder.layers.0.self_attn.out_proj.weight,128x128,16384,-0.0006859482763670599,0.09846733619038114,2.124303378332081,3.5386013571032353,2.0,1.7693006785516177,33.058789804062044,0.2582717953442347,0.00037241375178063307,nan,0.00042724609375,-0.31169235706329346,-0.1930609907209873,-0.15595564544200896,-0.07986894436180592,-0.0020789384143427014,0.0797939095646143,0.15500304400920864,0.19402652174234392,0.28376758098602295
lyapunov,2,500,episode_500.pt,encoder.layers.1.linear1.weight,256x128,32768,0.0008855558719058632,0.07703679503128547,2.068236246766606,3.2761756300675065,1.9711971193069777,1.6620233450926134,44.17165334508211,0.345091041758454,0.12025762145985443,nan,0.0006103515625,-0.24452489614486694,-0.14837906807661055,-0.12062744460999966,-0.062060920521616936,0.0014833348686806858,0.06401262991130352,0.12142252698540683,0.14989106640219682,0.2468409538269043
lyapunov,2,500,episode_500.pt,encoder.layers.1.linear2.weight,128x256,32768,0.00035417264874498117,0.07525217623267413,2.0253707435239083,2.955940260981438,1.9711971193069777,1.4995660413813259,48.17508219998953,0.3763678296874182,0.1275555916612405,nan,0.00054931640625,-0.20545947551727295,-0.14389848604798317,-0.11771136298775672,-0.06148028280586004,0.0009487693605478853,0.06268289126455784,0.11701530441641804,0.14339801296591748,0.23057328164577484
lyapunov,2,500,episode_500.pt,encoder.layers.1.self_attn.in_proj_weight,384x128,49152,-0.00032554546636921294,0.07183172092036502,2.3114781286728063,5.271626839356869,1.9318516525781364,2.728794849398329,30.971690315167542,0.24196633058724643,0.10142394390917044,nan,0.0008544921875,-0.221554234623909,-0.14941986680030822,-0.11382365487515926,-0.05675629433244467,-0.0001964250986929983,0.05564838647842407,0.11343542858958239,0.14988612815737723,0.2724425792694092
lyapunov,2,500,episode_500.pt,encoder.layers.1.self_attn.out_proj.weight,128x128,16384,-0.0006567845768354896,0.09033845488692681,1.951401023882529,2.8005354390438186,2.0,1.4002677195219093,39.16754622246718,0.30599645486302485,0.003075131382893417,nan,0.00048828125,-0.24260465800762177,-0.168140879124403,-0.14169030860066414,-0.07723972760140896,-0.0002885008289013058,0.07462062314152718,0.1410754770040512,0.166811870187521,0.23799008131027222
lyapunov,2,500,episode_500.pt,energy_encoder.0.weight,128x128,16384,0.0009480079766554517,0.09217996273738684,1.9672709474190253,3.021623425912048,2.0,1.510811712956024,36.94737221360768,0.28865134541881,0.0009271884495465775,nan,0.0008544921875,-0.25041326880455017,-0.17050195828080178,-0.14305241256952286,-0.07631152309477329,0.0015733313048258424,0.07847885228693485,0.14328196570277213,0.17160084798932076,0.2427573949098587
lyapunov,2,500,episode_500.pt,energy_encoder.3.weight,64x128,8192,-0.0009530787944163066,0.10481185320121794,1.8861856628276743,2.3819152207379264,1.9711971193069777,1.2083597309513858,29.51112582738336,0.461111341052865,0.1617575031377067,nan,0.0006103515625,-0.26264598965644836,-0.18977045759558678,-0.1630631111562252,-0.09006019867956638,-0.001819359080400318,0.08782481774687767,0.16187605336308478,0.18804748430848126,0.24271318316459656
lyapunov,2,500,episode_500.pt,input_projection.0.weight,128x1689,216192,0.0003628104576180274,0.04603875590414705,23.87470612485765,7.119410151821819,1.7388465326839122,4.0943292107745695,30.70210792297921,0.23986021814827507,0.14849837265834143,nan,0.0016096802841918294,-0.9237484931945801,-0.1024469754099846,-0.07021364532411098,-0.03053487278521061,0.0006272715982049704,0.03226434160023928,0.06845462992787357,0.0966932499408721,0.8658100366592407
lyapunov,2,500,episode_500.pt,lyapunov.0.weight,64x64,4096,0.0008373446506757531,0.12539350219912715,1.844606522200965,1.9210467161921603,2.0,0.9605233580960801,28.278097595188356,0.44184527492481807,0.008856542568306053,nan,0.000732421875,-0.30458784103393555,-0.2227657452225685,-0.19453609362244606,-0.10676646791398525,0.000546231065527536,0.11001578345894814,0.19193992763757706,0.22198067456483847,0.28448665142059326
lyapunov,2,500,episode_500.pt,lyapunov.2.weight,1x64,64,-0.005507092374500644,0.14101660996107687,2.2275639042674547,1.128992821272788,1.5787044347526527,0.7151388166269868,1.0,1.0,1.0,nan,0.0,-0.267534464597702,-0.2667544567584991,-0.24890947863459587,-0.11424959823489189,-0.004792819177964702,0.09240324981510639,0.22037900015711784,0.27244938641786576,0.2737128436565399
lyapunov,2,500,episode_500.pt,position_embedding,1x32x128,4096,0.0005706406179429302,0.0720556441239082,3.728739892264823,nan,nan,,nan,nan,nan,nan,0.0009765625,-0.28066933155059814,-0.17938176915049553,-0.11923564039170742,-0.04341059643775225,0.0001685892784735188,0.043624297715723515,0.12006073072552681,0.1811305172741415,0.28195154666900635
