step,x_before,y_before,target_x,target_y,x_after,y_after,battery_before,battery_after,battery_delta,reward,directional_reward,battery_reward,movement_penalty,action_dx_norm,action_dy_norm
58,158.2131420173301,339.3807558573448,145.41455421825785,325.10001511942977,162.31192154963972,331.6282472195677,27.533983906822098,27.347871398654405,-0.18611250816769243,-0.26563717643708334,0.127157160299264,-0.37222501633538485,0.020569320400962484,-0.6399294137954712,-0.7140370607376099
59,162.31192154963972,331.6282472195677,149.3047651775694,336.1644415440611,159.99792950349487,337.9576849334766,27.347871398654405,27.212529725325535,-0.13534167332887037,-0.05227957976229743,0.24109033200264887,-0.27068334665774074,0.022686565107205563,-0.6503578424453735,0.22680971026420593
60,159.99792950349487,337.9576849334766,145.34039395051636,325.10389274292487,158.29609504409623,329.44684734838154,27.212529725325535,27.095685829237414,-0.1168438960881204,-0.07318068286310295,0.1862464942012727,-0.2336877921762408,0.02573938488813484,-0.7328767776489258,-0.64268958568573
61,158.29609504409623,329.44684734838154,144.207597882231,319.82024517553,160.50535020201124,326.78499025296236,27.095685829237414,27.026382767276335,-0.06930306196107949,0.07415752856227055,0.22235438501989854,-0.13860612392215899,0.009590732535469002,-0.7044248580932617,-0.48133009672164917
62,160.50535020201124,326.78499025296236,153.3062416013948,338.8187722582724,158.32399254844734,339.43572988348575,27.026382767276335,26.981819738416707,-0.04456302885962771,0.07985468545269214,0.21313370897233463,-0.08912605771925541,0.04415296580038707,-0.35995543003082275,0.6016891002655029
63,158.32399254844734,339.43572988348575,144.87086945579597,334.94553985434146,158.28245229005137,337.26372064270663,26.981819738416707,26.85222585717577,-0.12959388124093607,0.06678738287321104,0.33326671008863407,-0.25918776248187214,0.007291564733550884,-0.6726561784744263,-0.22450950741767883
64,158.28245229005137,337.26372064270663,143.71519059418955,335.07011331238436,160.59541501916155,338.1234041873275,26.85222585717577,26.69861966050828,-0.15360619666748931,0.014637201136474936,0.33025266754924587,-0.30721239333497863,0.008403073077792306,-0.7283630967140198,-0.10968036204576492
65,160.59541501916155,338.1234041873275,147.52708043969378,343.8634602252303,157.7341952514679,347.5559660944209,26.69861966050828,26.565387421011287,-0.13323223949699425,-0.1008701763767065,0.1965459197938771,-0.2664644789939885,0.030951617176595093,-0.6534167528152466,0.2870028018951416
66,157.7341952514679,347.5559660944209,144.27784301758118,333.5579297098384,160.25352029410192,336.57020316675124,26.565387421011287,26.523569540343594,-0.04181788066769343,0.08065387379167852,0.20091705730012127,-0.08363576133538686,0.036627422173055896,-0.672817587852478,-0.699901819229126
67,160.25352029410192,336.57020316675124,146.8607781371195,340.3090494687837,158.29752277489533,341.4067999863739,26.523569540343594,26.463225909118126,-0.06034363122546793,0.13191302934425925,0.27059686495894186,-0.12068726245093586,0.017996573163746747,-0.6696370840072632,0.18694230914115906
68,158.29752277489533,341.4067999863739,145.89712928887238,331.9543358826752,156.97920966037822,335.70880702096497,26.463225909118126,26.341768607609506,-0.12145730150862022,-0.024507678171904215,0.2372851595689456,-0.24291460301724044,0.018878234723609385,-0.6200196743011475,-0.47262319922447205
69,156.97920966037822,335.70880702096497,143.04028200992656,337.53055050927674,157.6486424346175,341.1930885015941,26.341768607609506,26.266509872666948,-0.07525873494255819,0.08691094922772107,0.25599383341025006,-0.15051746988511638,0.018565414297412614,-0.696946382522583,0.09108717739582062
70,157.6486424346175,341.1930885015941,142.50041760399006,331.9505805670238,158.36855701141783,338.2677896902713,26.266509872666948,26.211659195432023,-0.054850677234924206,0.19990461499122686,0.3200104043373621,-0.10970135446984841,0.010404434876286825,-0.7574112415313721,-0.46212539076805115
71,158.36855701141783,338.2677896902713,142.91079429321715,327.32787498690215,159.586782307143,333.01196977195684,26.211659195432023,26.060229670328283,-0.1514295251037403,-0.09783316539658998,0.22134812818803373,-0.3028590502074806,0.016322243377143112,-0.7728881239891052,-0.5469957590103149
72,159.586782307143,333.01196977195684,147.05885395478705,340.6434046894068,157.14408709827134,343.06763790124097,26.060229670328283,26.022377969191552,-0.03785170113673075,0.09695333353094929,0.20652691749809593,-0.0757034022734615,0.033870181693685136,-0.6263964176177979,0.3815717399120331
73,157.14408709827134,343.06763790124097,144.99836280170152,334.84781597130933,156.1863829482197,339.0794091742177,26.022377969191552,25.951656721228755,-0.07072124796279766,0.11540178932756576,0.2702449793873384,-0.14144249592559532,0.0134006941341773,-0.6072862148284912,-0.4109911024570465
74,156.1863829482197,339.0794091742177,142.57698315268746,332.77455335070084,158.66839388487807,335.3551549491681,25.951656721228755,25.918073232868764,-0.03358348835999081,0.19095156431591126,0.27313234193124714,-0.06716697671998162,0.015013800895354269,-0.6804699897766113,-0.31524279713630676
75,158.66839388487807,335.3551549491681,146.04719332335463,343.74808593366515,156.659012739001,347.1168585410032,25.918073232868764,25.855591318879977,-0.062481913988786886,0.048628975348619465,0.21447541037765197,-0.12496382797757377,0.040882607051458734,-0.631060004234314,0.4196465313434601
76,156.659012739001,347.1168585410032,142.97601980382035,345.1819651713285,154.77080994909318,347.51723303631957,25.855591318879977,25.815745642302385,-0.03984567657759186,0.29171236128870576,0.3783687092410246,-0.07969135315518372,0.006964994797135162,-0.6841496229171753,-0.09674467146396637
77,154.77080994909318,347.51723303631957,142.6348426944545,351.14468731717284,157.22856952608538,354.0800232778293,25.815745642302385,25.792380532446835,-0.023365109855550514,0.1906404709519736,0.26266205042598884,-0.04673021971110103,0.02529135976291422,-0.6067983508110046,0.1813727170228958
78,157.22856952608538,354.0800232778293,145.54564716280413,347.4023756871921,155.7023836530851,348.36802025021,25.792380532446835,25.76948033194892,-0.02290020049791508,0.21210601573051896,0.2793812579340053,-0.04580040099583016,0.021474841207656196,-0.5841461420059204,-0.3338823914527893
